name,status,price,items_sold,free_returns,shipping
Vintage Boyds Collection J.B. Bean Series Teddy Bear - Floral Jumper & Flower,Pre-Owned,$39.99,0,False,0
BRUBIES Teddy Panda - 10 Inch Teddy Bear in Panda Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Elephant - 10 Inch Teddy Bear in Elephant Costume with Hood,Brand New,$24.99,0,False,0
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$29.99,134,False,0
12'' Teddy Bear Stuffed Animal Soft Plush Toy Baby Shower Valentine's Day Gift,Brand New,$9.87,0,True,0
10'' Teddy Bear Stuffed Animal Plush Toy Valentine's Day Christmas Birthday Gift,Brand New,$9.39,165,False,0
"Ted 2 Movie Teddy Bear Figure 10cm (4"") Movable Collectible Toy w/ Box",Brand New,$24.99,0,False,0
"10"" Teddy Bears Bulk 6 Packs Teddy Bear Stuffed Animals Plush Toys Gift for Kids",Brand New,$26.59,0,True,0
"MorisMos Pink Giant Teddy Bear 4 Feet, Lovely 47inch Classic Stuffed Animals",Brand New,$38.99,0,False,0
4ft Giant White Teddy Bear Plush Stuffed Animal Soft Huge Valentines Gift,Brand New,$36.79,0,True,0
"10cm TED 2 Movie Teddy Bear 4"" Boxed Movable Action Figure Toy Collectors Model",Brand New,$24.04,51,False,599
"TED 2 Movie Teddy Bear 3.5"" Boxed Movable Action Figure Toy Collectors Model",Brand New,$29.95,0,True,0
"MorisMos Big Teddy Bear with I Love You Red Heart 36""  Cuddly Large  Teddy Bear",Brand New,$39.99,0,False,0
BRUBIES Teddy Unicorn - 10 Inch Teddy Bear in Unicorn Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Frog - 10 Inch Teddy Bear in Frog Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Bunny - 10 Inch Teddy Bear in Bunny Costume with Hood,Brand New,$24.99,0,False,0
"GUND Baby My First Teddy Bear Stuffed Plush Toy Soft Pink 10"" for Newborn Infant",Brand New,$8.99,0,False,0
10pcs/Lot  4.3 inches Mini Teddy Bear Stuffed Plush Toys  with Dress,Brand New,$14.85,0,False,180
Kohl's Cares Corduroy Teddy Bear Plush Green Overalls 14” Stuffed Animal 2016,Pre-Owned,$8.00,0,False,562
10'' Plush Teddy Bear Stuffed Animal Doll Soft Plushies Toy Valentine's Day Gift,Brand New,$10.39,1404,True,0
Giant Teddy Bear 35.4'' Giant Stuffed Animal Big Bear Plush Toy,Brand New,$23.99,0,True,0
World Zero WZ - MOUNTS - *DISCOUNT*,Brand New,$2.99,0,False,0
"New 6"" Red Hot Plush Comfort Teddy Bear Animal Toy Gift",Brand New,$10.98,39,False,0
"The Teddy Bear - Hardcover By McPhail, David - VERY GOOD",Pre-Owned,$4.18,11,True,0
Kanye West Teddy Bear Plush Doll Music Graduation Teddy Bear Collection,Brand New,$14.99,278,True,0
Build A Bear BAB Timeless Teddy Brown Classic Bear Plush Original NWT UNSTUFFED,Brand New,$12.99,0,True,0
"Precious Moments Teddy Bear Plush 9"" Stuffed Animal with Pink Bow",Pre-Owned,$10.44,0,True,0
OFFICIAL MR. BEAN TEDDY BEAR BEANIE BABY - UK EXCLUSIVE - RETRO TY BEANIE BABY,Brand New,$19.99,381,False,0
BRUBIES Teddy Cow - 10 Inch Teddy Bear in Cow Costume with Hood,Brand New,$24.99,0,False,0
Lot of 59 Enesco Cherished Teddies Figurines Resin Bears Collection Vintage Bulk,Pre-Owned,$349.94,0,False,2257
Teddy Bear / Resin Furniture Appliqué / Scrapbooking /Embellishment/Crafts,Brand New,$14.99,0,False,552
"Sao Tome and Principe Flag Teddy Bear Plush 10"" Baby Gift Souvenir | Rep Ya Flag",Brand New,$55.93,0,True,0
"Anco Teddy Bear Black Dress With Red Roses With White Hat Sitting Plush 7""",Pre-Owned,$9.99,0,True,0
"Walmart Chocolate Brown TEDDY BEAR 12"" Plush Plaid Gingham Bow Vintage Stuffed",Pre-Owned,$49.99,0,False,800
Charlie Bears Evans | Plush Green Teddy Bear Collectable,Brand New,$299.00,0,False,1272
2026 Walmart Happy Valentine's Day TEDDY BEAR PRINCESS 22 Inches Tall,Brand New,$26.00,0,False,1200
Kids Preferred Vintage Emerald Green Teddy Bear Plush Stuffed Animal,Pre-Owned,$35.00,0,False,1050
50pcs Blue Teddy Bear Sunflower Seeds - Stunning Annual Blooms for Your Garden,,$5.95,867,True,0
"Maximilian Mink Teddy Bear,Brown,Button Eyes,Plaid Neck Bow, 11""x 10""x 5.5""",Pre-Owned,$99.00,0,True,720
"Teddy Mountain 16"" Zombie Teddy Bear Stuffie Plush Craft Birthday recordable",Brand New,$32.99,0,False,0
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$20.99,0,False,0
Vintage Teddy Bear Smithsonian Institution PLUSH Purple T-Shirt Roosevelt NWT,Brand New,$9.99,0,False,899
Get Your Hands on a Ganz Hug Me Teddy Bear Plush Stuffed  NWT,Brand New,$3.99,0,False,699
Charlie Bears Reynolds | Plush Brown Teddy Bear Collectable,Brand New,$299.00,0,False,1272
Progressive St. Peters Teddy Bear Jointed Brown  Plush Stuffed Animal  13”,Pre-Owned,$12.52,0,True,585
"Brown Teddy Bear Plush Toy 12"" Stuffed Animal Toddler Doll Gift for Kids",Brand New,$16.60,0,False,0
Vintage Baby Aurora Blue Teddy Bear Alphabet Block Stuffed Animal Plush,Pre-Owned,$7.00,0,False,589
"Teddy Bear Gray Brown Sitting Up 11"" Plush Stuffed Animal Commonwealth 1991",Pre-Owned,$29.31,0,False,956
"Best Made Toys Bear Plush Stuffed Animal Brown White Pink Polka Dot 13""",Pre-Owned,$28.99,0,False,0
"Valentine Pink Bear Swirl Furry Kiss Me Plush Stuffed 8"" Walmart Toy",Pre-Owned,$5.00,0,False,562
46cm TED Plush Figure Movie Teddy Bear Stuffed Animal Plush Pillow,Brand New,$20.99,0,False,0
Kanye West Teddy Bear Stuffed Plush Doll Music Graduation Teddy Bear Collection,Brand New,$15.79,0,True,0
50PCS Pink Giant Teddy Bear Sunflower Seeds,,$4.95,1803,True,0
"12"" Ganz Nighty Night Tan Teddy Bear Stuffed Plush Red & Black Plaid Pajamas Cap",Pre-Owned,$17.94,0,False,562
Vintage 2006 Sugar Loaf Plush Stuffed Animal Teddy Bear Hearts Purple Nylon Xoxo,Pre-Owned,$14.99,0,False,799
White Teddy Bear Plush Soft Stuffed Animal Cute Gift Pawsenclaws Co,Pre-Owned,$18.99,0,False,1000
Who Killed Teddy Bear [New DVD],Brand New ·DVD ·Who Killed Teddy Bear,$11.92,170,True,0
Douglas Black Bear Plush Unisex Small Stuffed Animal Toy Black Faux Fur Cabin,Pre-Owned,$21.99,0,False,649
"San Marino Flag Teddy Bear Plush 10"" – Baby Gift Souvenir | Rep Ya Flag",Brand New,$55.93,0,True,0
Jujutsu Kaisen Satoru Gojo Anime Plush Teddy Bear Doll Stuffed Toy Cosplay Gift,Brand New,$49.62,0,False,599
Resin Teddy Bear Furniture Appliqué/Switch PlateDecor/Scrapbooking/Nursery Decor,Brand New,$7.99,0,False,577
Jujutsu Kaisen Satoru Gojo Anime Plush Teddy Bear Doll Stuffed Toy Cosplay Gift,Brand New,$49.62,0,False,599
"San Marino Flag Teddy Bear Plush 10"" – Baby Gift Souvenir | Rep Ya Flag",Brand New,$55.93,0,True,0
Morismos Giant Teddy Bear 6 Feet- I Love You Red Heart Big Dark Brown Bear,Brand New,$119.99,0,False,0
"Papel Classics Teddy Bear Hailey Plush W/ Dress Hat Stuffed Animal 10"" WITH TAGS",Pre-Owned,$18.96,0,False,860
"Build-A-Bear Workshop Rainbow Teddy Bear Plush 16"" Stuffed Animal 2012 Toy",Pre-Owned,$18.99,0,False,750
NWT Good Stuff Boston Bruins NHL Hockey Plush 10” Teddy Bear Officially Licensed,Brand New,$14.99,0,False,577
Sweetheart Teddy Brown Bear Plush I Love You Heart 2023 Valentine Stuffed Animal,Pre-Owned,$24.98,0,True,0
"Animal Adventure Ballerina Bear Tan W/Pink Rosette Bow 15""Plush /Stuffed Toy",Pre-Owned,$7.00,0,False,545
Who Killed Teddy Bear [New DVD],Brand New ·DVD ·Who Killed Teddy Bear,$11.92,170,True,0
Teddy Bear Fidget Toy,Brand New,$0.99,0,False,795
"Hometown Products Teddy Bear 12"" Plush Letterman Jacket Stuffed Animal",Pre-Owned,$9.99,0,True,651
"Original Warm-hearted Teddy Bear,  Warm up - Heat up Teddy Bear! Vintage",Brand New,$29.95,0,False,1000
BRUBIES Teddy Koala - 10 Inch Teddy Bear in Koala Costume with Hood,Brand New,$24.99,0,False,0
"Valentines Day Gift for Her,Rose Bear Gift for Women,Flowers Gifts for Mom Wife",Brand New,$47.46,0,True,3010
Drawbridge | Gargoyle Plush Character for Kids | Bearhouse by Charlie Bears,Brand New,$55.00,0,False,1272
Charlie Bears Raspberry Cupcake - Adorable Plush Teddy Bear Pink Fur and Bow,Brand New,$60.00,0,False,0
"MorisMos Love Heart Giant Teddy Bear, 36inch Big Love Bears with Bow Tie, Large",Brand New,$34.99,0,False,0
"Burton & Burton White 17"" Plush Stuffed Bear With Bow Tie Love Me",Pre-Owned,$12.99,0,True,650
Medium Valentines Day Teddy Bear Plush,Brand New,$12.34,0,False,0
"GUND Vintage Schlepp #1457  Shaggy Small 9"" Ivory Teddy Bear Collectible Toy NWT",Brand New,$19.95,0,False,625
"MaoGoLan Giant Teddy Bear 47"" Large Stuffed Animals Plush Toy",Brand New,$35.00,0,False,0
Douglas Small Cream Brulee Bear #7820 Shaggy Teddy Retired 2018,Pre-Owned,$19.99,0,False,643
"Anico Int'l Inc Teddy Bear Stuffed Animal Plush Toy Brown Bow Floppy  14""",Pre-Owned,$11.95,0,False,926
Jockey Being Family Stuffed Animal Plush Teddy Bear 12 Inch Brown New With Tag,Brand New,$17.50,0,False,926
"NWT VTG Mango Teddy Bear Co Plush Mountain Goat Ram Bag Wild Game Pal 24"" ZIPPER",Brand New,$1.00,0,False,999
Vintage Victorias Secret Limited Edition Plush Angel Bear Wings Stuffed Animal,Pre-Owned,$35.00,0,False,695
Christmas Mini Build A Bear Stuffed Animals Plush Advent Calendar,Pre-Owned,$35.00,0,False,651
BRUBIES Teddy Tiger - 10 Inch Teddy Bear in Tiger Costume with Hood,Brand New,$24.99,0,False,0
MorisMos Giant Black Teddy Bear 6ft Stuffed Animals - “I Love You” Red Heart,Brand New,$119.99,0,False,0
Handmade Wooden Candle Holder Teddy Bear Design Unique Rustic Home Decor Gift,Brand New,$59.00,0,False,0
Care Bears Striped Teddy Bear Print Pajama Shorts,Pre-Owned,$18.00,0,False,885
Russ Curllilocks Sr. White Curly Plush Bear 22 Inch Curly Fur Toy,Pre-Owned,$19.17,0,True,1115
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$22.89,0,False,0
UNIPAK Designs Butter Yellow Small Jointed Teddy Bear Posable Stuffed Plush,Pre-Owned,$6.75,0,False,577
925  Solid Sterling Silver Teddy Bear Pendant,New (Other),$21.99,0,True,0
Clinique All About Shadow Quad Shade 01 Teddy Bear 0.16 Oz/4.8g Full Size NIB,Brand New,$27.50,14,True,0
VIP Cranston Hug-Me-Bear Fabric Panel Cut & Sew Teddy Bear w/ Blue Heart,Brand New,$6.50,0,False,577
Bartizan | Gargoyle Plush Character for Kids | Bearhouse by Charlie Bears,Brand New,$55.00,0,False,1272
26cm Kanye Teddy Bear Plush Doll West Graduation Teddy Bear  ToysX'masgift,,$30.69,0,False,0
Narcotics Anonymous  sponsorship bear,Brand New,$20.00,148,False,700
Medium Valentines Day Teddy Bear Plush,Brand New,$12.54,0,False,0
"MorisMos Giant Teddy Bear 4 Feet, Cute Big Teddy Bear Plush 47inch",Brand New,$39.99,0,False,0
"Lindt Plush Teddy Bear With Red Bag 8"" Brown Soft Stuffed Animal Collectible",Pre-Owned,$19.99,0,True,699
2026 Walmart Happy Valentine's Day TEDDY BEAR YOU AND ME Red 22 Inches Tall,Brand New,$26.00,0,False,1200
Valentine’s Day Princess Rainbow Teddy Bear Plush 21” Multicolor,Brand New,$25.00,0,False,0
HUGFUN INTERNATIONAL Large Plush Teddy Bear Tan Soft Cuddly 24 inch,Pre-Owned,$45.00,0,False,1400
NWT Cute Red Gummy Bear Plush 16 Inch Valentine's Day Anniversary Mother’s Day,Brand New,$19.99,0,False,0
"Thready Bear, Interactive 14"" Plush, 70+ Expressions & Reactions, Ages 3+, NEW",Brand New,$15.99,0,False,1166
17.7 Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift-US,Brand New,$23.99,0,False,0
Target 2025 GiggleScape Brown Teddy Bear w Scarf 7” Plush Valentine Bean Tush,Pre-Owned,$18.00,0,False,589
Metal I Love NY Teddy Bear Key Chain New York City Souvenir Party Favor,Brand New,$9.99,113,True,0
"Squishmallows 8"" Livo Pink Neon Bear Plush 2024 With Original Tags",Pre-Owned,$24.99,0,False,0
Vintage Eden (most Likely) Brown Teddy Bear 16” Tall RED WHITE & BLUE Ribbon ✨,Pre-Owned,$14.95,0,True,595
Pal Pick Progressive Plush Teddy Bear White Jointed 10 inch Stuffed Bear,Pre-Owned,$8.99,0,False,777
Teddy Bear Plush Heart Print 6” Valentines Day Gift Soft Cuddly Stuffed Animal,Pre-Owned,$9.97,0,False,675
"Fiesta Brown Plush Teddy Bear with “Happy Birthday” Shirt, 10”",Pre-Owned,$10.99,0,False,527
"Cuzzie Comfort Crew Military Kids Patchwork Cottage Teddy Bear Stuffed Plush 16""",Pre-Owned,$8.45,0,False,926
BRUBIES Teddy Duck - 10 Inch Teddy Bear in Duck Costume with Hood,Brand New,$24.99,0,False,0
Valentine's Day Dress Up Teddy Bear Costume Plush Mascot Costume Role Play 73 in,New (Other),$129.99,0,False,0
Fun Mr Bean Teddy Bear Plush Toy Comedy Cartoon Movie Figure Cute Animal Baby,Brand New,$14.99,0,False,0
"Giant Teddy Bear, 63""/160cm, Birthday Valentine Gift, Red",Brand New,$54.99,0,False,0
Plushland Licensed Plush Teddy Bear Beanie Bumblebee Outfit AR442 NWT,Brand New,$13.23,0,False,700
Microwaveable and Weighted Teddy Bear Plush Unscented Stuffed Animal,Brand New,$12.00,0,False,919
"GUND Vintage Schlepp #1457  Shaggy Small 9"" Ivory Teddy Bear Collectible Toy NWT",Brand New,$19.95,0,False,625
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$28.99,0,False,0
2026 Walmart Happy Valentine's Day TEDDY BEAR PRINCESS 22 Inches Tall,Brand New,$26.00,0,False,1200
TY Beanie Baby - ALOHA the Teddy Bear [Maui Strong] (8.5 inch) MWMTs Hawaii Bear,Brand New,$10.89,0,False,0
39 Inch Light Brown Giant Teddy Bear Ultra Soft Plush Cuddly Stuffed Animal,Brand New,$42.19,0,True,0
Genuine Porsche Teddy Bear Brown WAP-040-003-0S-TDB,Brand New,$94.00,11,True,0
"Premier Toy Cuddle Up With Love Teddy Bear 10"" Plush Brown Stuffed Animal",Pre-Owned,$11.99,0,False,599
Gummibär (The Gummy Bear) Jumbo Sitting Plush Toy,Brand New,$29.99,68,True,0
100+ DWARF TEDDY BEAR SUNFLOWER SEEDS 🌻 HEIRLOOM • POM-POM • USA FREE SHIPPING,,$3.99,2056,True,0
Kanye West Teddy Bear Plush Doll Music Graduation Teddy Bear Collection,Brand New,$14.45,0,False,0
18.5 in Bartholomew Bear Plush Doll W/o Tags & With Dust Bag,Brand New,$36.99,0,False,0
"12"" Bartholomew Bear Plush Toy Soft Classic Jellycat Bear Gift Collectible",Brand New,$28.99,0,False,0
"Official MLB NY Mets Coach Plush Teddy Bear 9"" Good Stuff",Pre-Owned,$13.43,0,False,0
Handmade Knitted Teddy Bear Sweaters of the Month,Pre-Owned,$14.85,0,False,926
5Ft Giant Teddy Bear Stuffed Animal Huge Teddy Bear w/ Ribbon Light Brown 160,Brand New,$120.00,0,False,0
"Teddy Bear DGE Corp Plush Brown Soft Stuffed Animal Black Vinyl Foot Pads 12""",Pre-Owned,$14.79,0,False,872
House of Hull White Teddy Bear Plush Black Faux Fur Vest 15 Inch Vintage 1987,Pre-Owned,$24.17,0,True,1115
Lime Crime Velvetines Liquid Matte Lipstick Teddy Bear Vegan (NEW),Brand New,$12.99,230,False,0
"MaoGoLan Big Teddy Bear Stuffed Animal, Soft and Cuddly Giant Teddy Bear Plush",Brand New,$49.97,0,False,0
50pcs Blue Teddy Bear Sunflower Seeds - Stunning Annual Blooms for Your Garden,,$5.95,867,True,0
NEW - I LOVE THERESA - Teddy Bear - Cute Soft Cuddly - Gift Present Romantic,Brand New,$29.09,0,False,725
"Fiesta Brown Plush Teddy Bear with “Happy Birthday” Shirt, 10”",Pre-Owned,$10.99,0,False,527
HUGFUN INTERNATIONAL Large Plush Teddy Bear Tan Soft Cuddly 24 inch,Pre-Owned,$45.00,0,False,1400
BRUBAKER Teddy Plush Bear with Red Heart - I Love You - 9.84 Inches - Plush,Brand New,$6.99,0,True,0
Plush Teddy Bear White with Red Hat & Heart “Love” Stuffed Animal Toy 9”,Brand New,$12.99,0,True,577
"MorisMos Big Teddy Bear 6 Feet,Life Size Huge Teddy Bear Plush Stuffed Animal",Brand New,$125.99,0,False,0
Kanye West Teddy Bear Plush Doll Music Graduation Teddy Bear Collection Donda,Brand New,$14.99,54,True,0
Swarovski teddy pink bright Pearl Bear bracelet🔥,Brand New,$58.66,0,False,1000
Large Valentines Day Teddy Bear Plush,Brand New,$18.64,0,False,0
White And Pink Teddy Bear Plush I Love You Heart Stuffed Animal Valentines,Brand New,$4.25,0,False,552
MorisMos Teddy Bear 6 Feet Tall Pink Human Size Big Teddy Bear Stuffed Animal,Brand New,$116.99,0,False,0
925  Solid Sterling Silver Teddy Bear Pendant,New (Other),$21.99,0,True,0
50pcs Pink Giant Teddy Bear Sunflower Seeds – Fluffy Double Blooms,,$4.36,265,False,0
Galerie M & M's Embroidered Teddy Bear Plush Stuffed Toy with Denim Jean Jacket,Brand New,$11.99,0,False,700
"Punch Monkey Shirt, Punch Monkey with Teddy Bear Monkeys Lovers T-Shirt",Brand New,$18.99,0,False,0
Goffa Chocolate Brown Sitting Teddy Bear w/ Brown Bow Plush Stuffed Toy,Pre-Owned,$12.00,0,False,0
Vintage 1983 Collectors Classics GUND Brown Teddy Bear 16in.,Pre-Owned,$24.99,0,False,601
"TED 2 Movie Teddy Bear 3.5"" Boxed Movable Action Figure Toy Collectors Model",Brand New,$50.00,0,False,0
"IKEA Fabler Bjorn Teddy Bear Stuffed Plush Soft Toy Beige 9"" Lovey NWT",Brand New,$10.95,0,False,495
"Teddy Mountain 8"" Gingerbread man AND Girl Teddy Bear Plush Stuffed and huggable",Brand New,$34.99,0,False,0
"Linzy Toys, 67747  ""Te Amo"" Teddy Bear with Heart 12""",Brand New,$14.99,0,False,0
Blue Teddy Bear 9” Plush Stuffed Animal Toy White Bow,Pre-Owned,$5.32,0,True,756
Roblox NINJA TEDDY BEAR exclusive virtual item CODE - Messaged fast,Brand New,$3.95,0,False,0
"Best Contract Manager Ever Teddy Bear, Gift Stuffed Animal",Brand New,$19.95,0,False,0
2026 HAPPY VALENTINES VALENTINE’S DAY Gift  LARGE RED TEDDY BEAR,Brand New,$26.99,0,False,0
Proud Patriots Trumpinator Teddy Bear - Donald Trump 2024 Bear for Trump Supp...,Brand New,$22.52,0,True,0
Vintage Eden (most Likely) Brown Teddy Bear 16” Tall RED WHITE & BLUE Ribbon ✨,Pre-Owned,$14.95,0,True,595
Warmies Marshmallow Bear Microwavable Lavender Scented Snuggable Plush Bear NEW!,Brand New,$24.99,0,False,0
VIP Cranston Hug-Me-Bear Fabric Panel Cut & Sew Teddy Bear w/ Blue Heart,Brand New,$6.50,0,False,577
"Audi Promotional 17"" Brown Plush Teddy Bear Floppy Legs/Arms NO Outfit",Pre-Owned,$10.00,0,False,752
Pal Pick Progressive Plush Teddy Bear White Jointed 10 inch Stuffed Bear,Pre-Owned,$8.99,0,False,777
SEWING PATTERN Sew Stuffed Animal Soft Plush Toy - Teddy Bear Cat Dog Bunny 8044,Brand New,$9.99,0,False,726
"Kellytoys Black And Tan Speckled 12"" Teddy Bear Collectible",Pre-Owned,$11.02,0,False,577
"IKEA Kramig Panda Bear 13"" Plush Teddy Bear Black White Stuffed Animal Toy",Pre-Owned,$12.00,0,True,746
Kidstar Teddy's Home Nursery w/ Carry Case 2 Bears Table New Sealed,Brand New,$20.00,0,False,0
New Jersey State Police Officer Plush Toy  Teddy Stuffed Animal 22” Patriot Bear,Brand New,$149.50,0,False,0
Pack of 12 Teddy Bear  Bike Motorcycle Hat Cap Lapel Pin HP4711,Brand New,$32.88,0,False,0
Pack of 12 White Teddy Bear W/ USA Flag Drum Motorcycle Hat Cap Lapel Pin HP4774,Brand New,$32.88,0,False,0
Pack of 24 White Teddy Bear In RWB Hot Air Balllon Bike Hat Cap Lapel HP4775,Brand New,$58.88,0,False,0
Pack of 24 Boy Teddy Bear With Bouquet Bike Motorcycle Hat Cap Lapel Pin HP462,Brand New,$58.88,0,False,0
Large Valentines Day Teddy Bear Plush,Brand New,$18.74,0,False,0
SEWING PATTERN Sew Stuffed Animal Soft Plush Toy - Teddy Bear Cat Dog Bunny 8044,Brand New,$9.99,0,False,726
2024 Trump  “ Make America Great Again” Teddy Bear Donald Trump Iconic Red Hat,Brand New,$28.80,0,True,831
Jally cats Bartholomew Bathrobe Bear Plush Plushie Doll Soft Stuffed Animal Gift,Brand New,$28.55,0,False,0
"American Girl Bitty Bear for Bitty Baby 5"" Plush",Brand New,$15.00,72,False,577
"Baby Boyds Bear Light Beige Green Bow Jointed Plush Boyds Bears Teddy Bear 7""",Pre-Owned,$8.99,0,False,875
"WATER HORSE LOCH NESS MONSTER TOY PLUSH 6"" BEVERLY HILLS TEDDY BEAR BEANIE DOLL",Brand New,$5.50,144,False,388
Gentle Treasures St Jude Brown Teddy Bear Plush Animal Plaid Scarf Hat NWT 2020,Brand New,$9.99,0,False,699
Vintage 1986 Enesco Musical Wind Up Stuffed Plush Christmas Bear With Scarf Hat,Pre-Owned,$14.99,0,True,0
Pack of 12 Girl Teddy Bear In Red Dress Bike Motorcycle Hat Cap Lapel Pin HP461,Brand New,$32.88,0,False,0
Pack of 6 Teddy Bear Love Bike Motorcycle Hat Cap Lapel Pin HP4569,Brand New,$17.76,0,False,0
Pack of 24 Teddy Bear Love Bike Motorcycle Hat Cap Lapel Pin HP4569,Brand New,$58.88,0,False,0
Plush Unicorn & Turtle Stuffed Animals & Teddy Bear Bow Accent trio,Pre-Owned,$8.00,0,False,1050
2026 HAPPY VALENTINES VALENTINE’S DAY Gift  LARGE RED TEDDY BEAR,Brand New,$26.99,0,False,0
"Ultimate Teddy Bear Book - Hardcover By Cockrill, Pauline - GOOD",Pre-Owned,$4.43,0,True,0
